unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1614384000000,2021-02-27 00:00:00,BTC/USDT,46276.88000000,46628.93000000,46156.24000000,46621.39000000,336.16656500,15588174.69463991,8582
1614380400000,2021-02-26 23:00:00,BTC/USDT,45476.30000000,46444.57000000,45368.74000000,46276.87000000,2571.86578500,118542767.20494309,60317
1614376800000,2021-02-26 22:00:00,BTC/USDT,45680.00000000,45988.77000000,45000.00000000,45476.30000000,4400.97529100,200547396.61397559,123927
1614373200000,2021-02-26 21:00:00,BTC/USDT,46270.00000000,46867.00000000,45500.00000000,45677.46000000,3831.69018200,177173658.77323526,85141
1614369600000,2021-02-26 20:00:00,BTC/USDT,46959.18000000,47115.38000000,46071.89000000,46270.00000000,3514.29786700,163727573.68617536,80837
1614366000000,2021-02-26 19:00:00,BTC/USDT,47317.09000000,47478.07000000,46602.62000000,46959.17000000,3342.27688000,157219140.61462317,81667
1614362400000,2021-02-26 18:00:00,BTC/USDT,47659.96000000,47873.24000000,47269.99000000,47317.09000000,2473.72390500,117680138.80192218,67348
1614358800000,2021-02-26 17:00:00,BTC/USDT,48127.26000000,48424.11000000,47542.20000000,47660.98000000,3255.90618200,156184096.40823589,97578
1614355200000,2021-02-26 16:00:00,BTC/USDT,47590.66000000,48219.08000000,47450.00000000,48127.26000000,4556.16230600,218038757.46334770,97078
1614351600000,2021-02-26 15:00:00,BTC/USDT,46869.59000000,47853.13000000,46333.00000000,47594.65000000,5170.12468800,243331076.24514916,95719
1614348000000,2021-02-26 14:00:00,BTC/USDT,45958.41000000,47429.00000000,45828.37000000,46868.98000000,4508.89686400,210961601.75950509,95235
1614344400000,2021-02-26 13:00:00,BTC/USDT,46823.38000000,46999.77000000,45800.00000000,45958.41000000,3593.67866900,166636422.45052784,74350
1614340800000,2021-02-26 12:00:00,BTC/USDT,46427.65000000,47266.34000000,46315.08000000,46823.39000000,3485.25260900,163279933.31185639,73849
1614337200000,2021-02-26 11:00:00,BTC/USDT,46704.75000000,46850.00000000,45662.94000000,46427.65000000,3319.25951200,153378598.05698269,74580
1614333600000,2021-02-26 10:00:00,BTC/USDT,46410.76000000,46880.40000000,46168.00000000,46706.85000000,3745.26633500,174396328.08068973,83336
1614330000000,2021-02-26 09:00:00,BTC/USDT,45727.75000000,46626.35000000,45325.00000000,46410.76000000,6228.04563800,287389360.53800643,120877
1614326400000,2021-02-26 08:00:00,BTC/USDT,44986.99000000,45950.00000000,44939.19000000,45727.74000000,5560.53718000,252899486.53136551,112993
1614322800000,2021-02-26 07:00:00,BTC/USDT,46098.99000000,46430.02000000,44106.78000000,44973.68000000,10843.41221600,488062440.47692488,182846
1614319200000,2021-02-26 06:00:00,BTC/USDT,45524.35000000,46500.00000000,45512.02000000,46093.07000000,3894.66556800,179503674.00823412,92708
1614315600000,2021-02-26 05:00:00,BTC/USDT,47028.80000000,47207.40000000,45502.69000000,45517.53000000,5228.38820800,241909695.32155710,106473
1614312000000,2021-02-26 04:00:00,BTC/USDT,47331.34000000,47786.50000000,46806.49000000,47025.06000000,2839.21943900,134360235.86143333,67187
1614308400000,2021-02-26 03:00:00,BTC/USDT,47343.50000000,47695.77000000,46639.24000000,47330.24000000,3512.63530400,165764356.62534804,74188
1614304800000,2021-02-26 02:00:00,BTC/USDT,46480.48000000,47800.00000000,46124.74000000,47343.51000000,5240.30775400,246801657.25005068,113885
1614301200000,2021-02-26 01:00:00,BTC/USDT,46807.84000000,47479.06000000,46240.84000000,46480.48000000,6203.21910400,290755125.08169801,136879
1614297600000,2021-02-26 00:00:00,BTC/USDT,47073.73000000,47613.50000000,46000.00000000,46801.05000000,8103.39317700,377831011.56882769,172768
1614294000000,2021-02-25 23:00:00,BTC/USDT,48229.63000000,48463.27000000,46674.34000000,47073.73000000,5947.23226700,282793061.85452555,130893
1614290400000,2021-02-25 22:00:00,BTC/USDT,48102.01000000,48900.00000000,47471.00000000,48235.85000000,5670.50516700,272928468.09759038,152785
1614286800000,2021-02-25 21:00:00,BTC/USDT,49151.36000000,49300.00000000,48051.00000000,48101.99000000,3634.64330500,177026810.91773268,101460
